"시도별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]","15-64세 고용률[%]",
"계","2021.04 월","45027.3","28360.5","27213.6","1147","16666.8","63","4","60.4","66.2",
"계","2021.05 월","45049","28697.7","27549.6","1148.2","16351.2","63.7","4","61.2","66.9",
"계","2021.06 월","45068.3","28729.8","27637.2","1092.5","16338.5","63.7","3.8","61.3","67.1",
"계","2021.07 월","45089.9","28568.3","27648.4","919.9","16521.6","63.4","3.2","61.3","67.1",
"계","2021.08 월","45104.1","28346.4","27602.7","743.7","16757.7","62.8","2.6","61.2","66.9",
"계","2021.09 월","45123.9","28438.6","27682.7","755.9","16685.3","63","2.7","61.3","67.2",
"계","2021.10 월","45148.1","28528.1","27740.7","787.5","16620","63.2","2.8","61.4","67.3",
"계","2021.11 월","45181.1","28528.4","27794.6","733.8","16652.7","63.1","2.6","61.5","67.5",
"계","2021.12 월","45205.9","28277.5","27298.4","979.1","16928.5","62.6","3.5","60.4","67.3",
"계","2022.01 월","45199.8","28095.8","26952.6","1143.2","17104","62.2","4.1","59.6","67",
"계","2022.02 월","45212.6","28355.7","27401.5","954.2","16856.9","62.7","3.4","60.6","67.4",
