시도별,시점,15세이상인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%],15-64세 고용률[%]
계,200202,36870.9,22377.4,21465.5,911.9,14493.5,60.7,4.1,58.2,61.9
계,200203,36902.4,22687.4,21823.5,863.9,14215.0,61.5,3.8,59.1,62.6
계,200204,36933.6,23147.3,22363.1,784.2,13786.3,62.7,3.4,60.5,63.8
계,200205,36963.4,23248.0,22518.3,729.7,13715.3,62.9,3.1,60.9,64.1
계,200206,36997.0,23260.9,22579.0,682.0,13736.1,62.9,2.9,61.0,64.2
계,200207,37032.3,23303.8,22595.5,708.3,13728.5,62.9,3.0,61.0,64.2
계,200208,37064.4,23025.1,22289.3,735.8,14039.2,62.1,3.2,60.1,63.4
계,200209,37093.8,23194.3,22561.9,632.3,13899.5,62.5,2.7,60.8,64.0
계,200210,37131.2,23275.2,22613.5,661.7,13856.0,62.7,2.8,60.9,64.1
계,200211,37157.1,23127.0,22463.9,663.0,14030.1,62.2,2.9,60.5,63.8
계,200212,37189.6,22835.2,22119.5,715.7,14354.4,61.4,3.1,59.5,63.1
계,200301,37227.9,22476.4,21633.6,842.8,14751.6,60.4,3.7,58.1,62.0
계,200302,37262.4,22432.7,21570.1,862.7,14829.6,60.2,3.8,57.9,61.7
계,200303,37296.0,22759.3,21910.5,848.8,14536.7,61.0,3.7,58.7,62.5
계,200304,37332.9,23030.4,22235.1,795.2,14302.5,61.7,3.5,59.6,63.2
계,200305,37371.5,23240.9,22453.4,787.6,14130.5,62.2,3.4,60.1,63.6
계,200306,37401.0,23266.3,22468.7,797.6,14134.7,62.2,3.4,60.1,63.6
계,200307,37436.9,23370.6,22540.0,830.6,14066.2,62.4,3.6,60.2,63.8
계,200308,37462.3,23024.4,22211.3,813.1,14437.9,61.5,3.5,59.3,62.8
계,200309,37490.4,23161.4,22389.0,772.4,14329.0,61.8,3.3,59.7,63.2
계,200310,37520.2,23347.6,22543.4,804.3,14172.6,62.2,3.4,60.1,63.5
계,200311,37546.6,23343.6,22515.9,827.7,14203.0,62.2,3.5,60.0,63.6
계,200312,37576.7,23060.5,22188.2,872.3,14516.2,61.4,3.8,59.0,63.0
계,200401,37614.3,22941.0,22028.7,912.3,14673.3,61.0,4.0,58.6,62.7
계,200402,37642.4,23059.3,22104.1,955.2,14583.1,61.3,4.1,58.7,62.7
계,200403,37670.4,23416.5,22482.4,934.1,14253.8,62.2,4.0,59.7,63.4
계,200404,37697.3,23666.1,22800.8,865.3,14031.2,62.8,3.7,60.5,64.0
계,200405,37724.7,23712.0,22878.9,833.1,14012.8,62.9,3.5,60.6,64.2
계,200406,37757.1,23773.6,22970.9,802.7,13983.5,63.0,3.4,60.8,64.4
